timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736610008.2437866, 1736610008.4167721, 1736610008.6808798, 1736610008.86338, 1736610009.0462356]",1736610009.5373926,1736610009.5374727,1736610014.1880903,1736610014.195096,1736610014.2092788,1.0,5,0.4702463150024414,0.028223037719726562,0.1285398006439209,0.29604244232177734,0.2567727565765381,"[0.44906091690063477, 0.47392797470092773]","[0.1004328727722168, 0.1638643741607666]",78617,"[16, 16, 16]","[0.0002035183230090184, 0.0002035183230090184, 0.0002035183230090184]",1736610014
"[1736610009.23085, 1736610009.4602203, 1736610009.5844858, 1736610009.7847228, 1736610010.0647686]",1736610010.6819477,1736610010.6820378,1736610015.3749495,1736610015.3841958,1736610015.3950756,1.0,5,0.5170016288757324,0.037229299545288086,0.1736299991607666,0.2523081302642822,0.29070138931274414,"[0.3744683265686035, 0.4941270351409912]","[0.10806941986083984, 0.20543169975280762]",132507,"[16, 16, 16]","[0.00012074833782366214, 0.00012074833782366214, 0.00012074833782366214]",1736610015
"[1736610010.2311516, 1736610010.4116275, 1736610010.580807, 1736610010.8619215, 1736610011.0479162]",1736610011.9192717,1736610011.920116,1736610016.454241,1736610016.4662695,1736610016.4795585,1.0,5,0.41494321823120117,0.0350341796875,0.15383124351501465,0.2799205780029297,0.22109627723693848,"[0.34289002418518066, 0.4533388614654541]","[0.10130453109741211, 0.17583441734313965]",112931,"[16, 16, 16]","[0.00014167943257387255, 0.00014167943257387255, 0.00014167943257387255]",1736610016
"[1736610011.2404537, 1736610011.4589462, 1736610011.5681498, 1736610011.8119864, 1736610012.0167902]",1736610013.001142,1736610013.00125,1736610017.449202,1736610017.462524,1736610017.4803545,1.0,5,0.5335774421691895,0.03978276252746582,0.13824009895324707,0.2880265712738037,0.22274374961853027,"[0.35629916191101074, 0.3175179958343506]","[0.12731075286865234, 0.19011330604553223]",149571,"[16, 16, 16]","[0.0001069726083264804, 0.0001069726083264804, 0.0001069726083264804]",1736610017
"[1736610012.2094646, 1736610012.423599, 1736610012.6649642, 1736610012.8303237, 1736610013.0031226]",1736610014.1935005,1736610014.1935914,1736610018.639452,1736610018.6498942,1736610018.6690645,1.0,5,0.46877455711364746,0.0391535758972168,0.17919683456420898,0.2510988712310791,0.2393808364868164,"[0.48876142501831055, 0.42839765548706055]","[0.10612344741821289, 0.16312408447265625]",119685,"[16, 16, 16]","[0.00013368425450139952, 0.00013368425450139952, 0.00013368425450139952]",1736610018
"[1736610013.2836566, 1736610013.4851553, 1736610013.6812572, 1736610013.913342, 1736610014.0697818]",1736610015.3801668,1736610015.380237,1736610019.490811,1736610019.4988027,1736610019.5171778,1.0,5,0.43536829948425293,0.04380655288696289,0.1649322509765625,0.23694086074829102,0.20984911918640137,"[0.2767035961151123, 0.30893874168395996]","[0.10105419158935547, 0.1607835292816162]",106046,"[16, 16, 16]","[0.00015087792090224996, 0.00015087792090224996, 0.00015087792090224996]",1736610019
"[1736610014.2365708, 1736610014.425927, 1736610014.6378129, 1736610014.80219, 1736610015.039205]",1736610016.4619565,1736610016.4620473,1736610020.6988282,1736610020.7072918,1736610020.7201555,1.0,5,0.4716017246246338,0.0453486442565918,0.1552135944366455,0.43123316764831543,0.2370588779449463,"[0.5495891571044922, 0.40977048873901367]","[0.0978231430053711, 0.144944429397583]",104573,"[16, 16, 16]","[0.00015300316525298117, 0.00015300316525298117, 0.00015300316525298117]",1736610020
"[1736610015.2576234, 1736610015.4328663, 1736610015.6367645, 1736610015.842521, 1736610016.0786538]",1736610017.4563487,1736610017.456459,1736610021.6008666,1736610021.6098099,1736610021.6275678,1.0,5,0.3159670829772949,0.02857184410095215,0.24926185607910156,0.2518165111541748,0.3168013095855713,"[0.2922947406768799, 0.36324095726013184]","[0.08678746223449707, 0.15493464469909668]",89745,"[16, 16, 16]","[0.0001782829126970862, 0.0001782829126970862, 0.0001782829126970862]",1736610021
"[1736610016.2428021, 1736610016.4282904, 1736610016.6025221, 1736610016.85968, 1736610017.0251582]",1736610018.6454227,1736610018.6455078,1736610022.6442966,1736610022.651821,1736610022.6673412,1.0,5,0.42871832847595215,0.04065561294555664,0.10659360885620117,0.3882887363433838,0.23812532424926758,"[0.38662219047546387, 0.43069887161254883]","[0.0882105827331543, 0.13242530822753906]",90171,"[16, 16, 16]","[0.00017744064056071242, 0.00017744064056071242, 0.00017744064056071242]",1736610022
"[1736610017.2679033, 1736610017.4459589, 1736610017.647979, 1736610017.8978448, 1736610018.054751]",1736610019.4959145,1736610019.4960291,1736610023.4429677,1736610023.449309,1736610023.460925,1.0,5,0.36759448051452637,0.03399205207824707,0.2035832405090332,0.22655797004699707,0.33449816703796387,"[0.24979734420776367, 0.3684077262878418]","[0.06576871871948242, 0.11114859580993652]",86747,"[16, 16, 16]","[0.00018444441882716406, 0.00018444441882716406, 0.00018444441882716406]",1736610023
"[1736610018.2126558, 1736610018.3946419, 1736610018.5792606, 1736610018.809075, 1736610019.050792]",1736610020.7039506,1736610020.7040534,1736610024.273132,1736610024.2802389,1736610024.2938507,1.0,5,0.3724637031555176,0.041201114654541016,0.10386848449707031,0.21022963523864746,0.20005536079406738,"[0.2873990535736084, 0.3585383892059326]","[0.06736350059509277, 0.11333513259887695]",85475,"[16, 16, 16]","[0.0001871892366188944, 0.0001871892366188944, 0.0001871892366188944]",1736610024
"[1736610019.2146118, 1736610019.4071712, 1736610019.5931451, 1736610019.8460076, 1736610020.010457]",1736610021.6068807,1736610021.6070457,1736610024.847142,1736610024.8528192,1736610025.0119731,1.0,5,0.4652249813079834,0.03193950653076172,0.13013434410095215,0.20731759071350098,0.24329400062561035,"[0.18684744834899902, 0.2207355499267578]","[0.05488443374633789, 0.10841488838195801]",99679,"[16, 16, 16]","[0.0001605152539652284, 0.0001605152539652284, 0.0001605152539652284]",1736610025
"[1736610020.2553, 1736610020.436186, 1736610020.6097593, 1736610020.8910356, 1736610021.0501335]",1736610022.64896,1736610022.6496367,1736610025.3289726,1736610025.3349745,1736610026.0069473,1.0,5,0.3126184940338135,0.03375434875488281,0.1285703182220459,0.19512510299682617,0.2176074981689453,"[0.1435985565185547, 0.21478796005249023]","[0.042069435119628906, 0.07504534721374512]",80566,"[16, 16, 16]","[0.00019859494079388327, 0.00019859494079388327, 0.00019859494079388327]",1736610026
"[1736610021.2090492, 1736610021.389817, 1736610021.5681899, 1736610021.802342, 1736610022.0429065]",1736610023.4474292,1736610023.4476058,1736610025.6491194,1736610025.6544597,1736610027.0096717,1.0,5,0.3451361656188965,0.026607036590576172,0.09066557884216309,0.1841888427734375,0.2046823501586914,"[0.10818243026733398, 0.10538125038146973]","[0.03644919395446777, 0.06739306449890137]",62569,"[16, 16, 16]","[0.00025571768767280924, 0.00025571768767280924, 0.00025571768767280924]",1736610027
"[1736610022.1912823, 1736610022.3885396, 1736610022.5910816, 1736610022.8132963, 1736610023.0180826]",1736610024.2778609,1736610024.2780194,1736610025.840078,1736610025.84184,1736610028.005327,1.0,5,0.24216270446777344,0.02060413360595703,0.06022357940673828,0.13190698623657227,0.1775684356689453,"[0.08624386787414551, 0.08311748504638672]","[0.0071697235107421875, 0.012094974517822266]",9253,"[16, 16, 16]","[0.0017291689181886955, 0.0017291689181886955, 0.0017291689181886955]",1736610028
"[1736610023.2200723, 1736610023.4216657, 1736610023.6197233, 1736610023.8303032, 1736610024.0126414]",1736610024.850028,1736610024.850092,1736610026.018067,1736610026.018931,1736610029.0029292,1.0,5,0.19807863235473633,0.01691412925720215,0.08240509033203125,0.10162901878356934,0.15501904487609863,"[0.08224654197692871, 0.08067774772644043]","[0.004878044128417969, 0.0075228214263916016]",4001,"[16, 16, 16]","[0.003999000249937516, 0.003999000249937516, 0.003999000249937516]",1736610029
