timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,ID
"[1736515357.4649718, 1736515357.6941907, 1736515357.871216, 1736515358.0991426, 1736515358.264683]",1736515358.5847347,1736515358.5847502,1736515359.8212898,1736515359.8271039,1736515361.204863,1.0,5,0.33006787300109863,0.018793821334838867,0.09725809097290039,0.14056825637817383,0.17904186248779297,"[0.19066381454467773, 0.1880643367767334]","[0.08945584297180176, 0.1522371768951416]",1736515361
"[1736515358.509588, 1736515358.6667883, 1736515358.9083736, 1736515359.144457, 1736515359.3067534]",1736515359.5347593,1736515359.5347679,1736515360.7713177,1736515360.7783456,1736515362.205929,1.0,5,0.40091657638549805,0.015005826950073242,0.07241106033325195,0.1226046085357666,0.23891091346740723,"[0.17004013061523438, 0.1365492343902588]","[0.09295129776000977, 0.1562485694885254]",1736515362
"[1736515359.4628081, 1736515359.6240737, 1736515359.8558145, 1736515360.029593, 1736515360.2750294]",1736515360.5754364,1736515360.5754461,1736515361.9117415,1736515361.9176986,1736515363.2018862,1.0,5,0.38022661209106445,0.04094362258911133,0.09665393829345703,0.11174488067626953,0.18640470504760742,"[0.20813608169555664, 0.22578668594360352]","[0.087677001953125, 0.15524959564208984]",1736515363
"[1736515360.4980094, 1736515360.733831, 1736515360.9156215, 1736515361.0759678, 1736515361.3118439]",1736515361.543064,1736515361.5430725,1736515362.681852,1736515362.6861134,1736515364.2024555,1.0,5,0.39040303230285645,0.0179746150970459,0.0905301570892334,0.14580821990966797,0.18917202949523926,"[0.13216805458068848, 0.11647796630859375]","[0.08196449279785156, 0.1353611946105957]",1736515364
"[1736515361.473074, 1736515361.7066426, 1736515361.8504415, 1736515362.0919895, 1736515362.2664576]",1736515362.6716552,1736515362.671668,1736515363.730023,1736515363.7352676,1736515365.2047846,1.0,5,0.21452093124389648,0.023097753524780273,0.04233980178833008,0.1325080394744873,0.2678871154785156,"[0.20055675506591797, 0.11929917335510254]","[0.09042739868164062, 0.13915681838989258]",1736515365
"[1736515362.4916253, 1736515362.723367, 1736515362.9007525, 1736515363.0666206, 1736515363.295155]",1736515363.714088,1736515363.7141008,1736515364.9068713,1736515364.9132285,1736515366.20532,1.0,5,0.24330520629882812,0.016025066375732422,0.06092977523803711,0.11029934883117676,0.25803279876708984,"[0.20851778984069824, 0.20361638069152832]","[0.08845949172973633, 0.1573176383972168]",1736515366
"[1736515363.5198362, 1736515363.7553408, 1736515363.9483645, 1736515364.1262498, 1736515364.2861874]",1736515364.587316,1736515364.5873272,1736515365.965065,1736515365.9704227,1736515367.2078538,1.0,5,0.43500304222106934,0.011969566345214844,0.08131527900695801,0.13636064529418945,0.26339221000671387,"[0.1969749927520752, 0.21356534957885742]","[0.08884501457214355, 0.14379382133483887]",1736515367
"[1736515364.5120347, 1736515364.6790516, 1736515364.9257922, 1736515365.0918198, 1736515365.3391593]",1736515365.606143,1736515365.6061544,1736515366.8940148,1736515366.8992023,1736515368.209387,1.0,5,0.42239952087402344,0.03666210174560547,0.09314417839050293,0.11185979843139648,0.1812756061553955,"[0.18189215660095215, 0.1872401237487793]","[0.0884542465209961, 0.15517163276672363]",1736515368
"[1736515365.489264, 1736515365.6502717, 1736515365.8967671, 1736515366.0515869, 1736515366.308743]",1736515366.6004615,1736515366.6004717,1736515367.9495232,1736515367.9565208,1736515369.2127974,1.0,5,0.4182860851287842,0.014443159103393555,0.06234407424926758,0.11786460876464844,0.26111817359924316,"[0.18390154838562012, 0.21174407005310059]","[0.08376026153564453, 0.1549215316772461]",1736515369
"[1736515366.5300984, 1736515366.6901135, 1736515366.9230337, 1736515367.091139, 1736515367.3360538]",1736515367.5813746,1736515367.5813875,1736515368.8840623,1736515368.8903315,1736515370.2147899,1.0,5,0.4039344787597656,0.016667604446411133,0.07019305229187012,0.11004972457885742,0.22884654998779297,"[0.1916797161102295, 0.21506404876708984]","[0.09002900123596191, 0.15734314918518066]",1736515370
