timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609081.6247213, 1736609081.7650228, 1736609081.8937433, 1736609082.0260992, 1736609082.2250953, 1736609082.3591743, 1736609082.4940858]",1736609082.6295934,1736609082.629764,1736609084.2067914,1736609084.2098515,1736609084.221343,1.0,7,0.30680322647094727,0.02253246307373047,0.16200947761535645,0.30510997772216797,0.37917041778564453,"[0.23230671882629395, 0.3637661933898926]","[0.05407261848449707, 0.1070556640625]",61478,"[16, 16, 16]","[0.000260255701226455, 0.000260255701226455, 0.000260255701226455]",1736609084
"[1736609082.626589, 1736609082.7640998, 1736609082.9108806, 1736609083.054326, 1736609083.2137601, 1736609083.3387566, 1736609083.4667823]",1736609083.679446,1736609083.6795406,1736609085.491044,1736609085.4971502,1736609085.5088503,1.0,7,0.2567446231842041,0.03713631629943848,0.25900697708129883,0.15713167190551758,0.36570048332214355,"[0.3043794631958008, 0.48612141609191895]","[0.08747553825378418, 0.14854192733764648]",75194,"[16, 16, 16]","[0.00021278293480862836, 0.00021278293480862836, 0.00021278293480862836]",1736609085
"[1736609083.673977, 1736609083.806615, 1736609083.9557045, 1736609084.1008744, 1736609084.2643874, 1736609084.388705, 1736609084.5605428]",1736609084.6359558,1736609084.636054,1736609086.8861039,1736609086.8945591,1736609086.9058409,1.0,7,0.3869593143463135,0.04061293601989746,0.2044975757598877,0.35701417922973633,0.453275203704834,"[0.5307419300079346, 0.4046497344970703]","[0.1092977523803711, 0.19037890434265137]",83478,"[16, 16, 16]","[0.00019166726562687176, 0.00019166726562687176, 0.00019166726562687176]",1736609086
"[1736609084.6280837, 1736609084.7597713, 1736609084.898096, 1736609085.0343428, 1736609085.1599612, 1736609085.359587, 1736609085.492767]",1736609085.6292222,1736609085.6294062,1736609087.956781,1736609087.9650607,1736609087.9774113,1.0,7,0.261885404586792,0.03860044479370117,0.1762838363647461,0.3173377513885498,0.4042625427246094,"[0.29227232933044434, 0.5000183582305908]","[0.08538174629211426, 0.17673158645629883]",87245,"[16, 16, 16]","[0.00018339159837239957, 0.00018339159837239957, 0.00018339159837239957]",1736609087
"[1736609085.6260457, 1736609085.758342, 1736609085.90814, 1736609086.0402012, 1736609086.1663191, 1736609086.3613808, 1736609086.4908695]",1736609086.6310318,1736609086.6311626,1736609089.321723,1736609089.3307006,1736609089.3451009,1.0,7,0.4557018280029297,0.03375673294067383,0.22463297843933105,0.22016453742980957,0.37470078468322754,"[0.4308907985687256, 0.666754961013794]","[0.08736515045166016, 0.17124295234680176]",86809,"[16, 16, 16]","[0.00018431268647260078, 0.00018431268647260078, 0.00018431268647260078]",1736609089
"[1736609086.6273444, 1736609086.7579086, 1736609086.900735, 1736609087.0403678, 1736609087.1819131, 1736609087.32416, 1736609087.4532804]",1736609087.6462443,1736609087.6464252,1736609090.7589235,1736609090.7682035,1736609090.7758884,1.0,7,0.5009911060333252,0.040471553802490234,0.13842320442199707,0.3148336410522461,0.3498835563659668,"[0.6235675811767578, 0.5178272724151611]","[0.12560582160949707, 0.15998148918151855]",92421,"[16, 16, 16]","[0.00017312082751755553, 0.00017312082751755553, 0.00017312082751755553]",1736609090
"[1736609087.6437168, 1736609087.77565, 1736609087.963563, 1736609088.091833, 1736609088.223846, 1736609088.3573363, 1736609088.491128]",1736609088.6266348,1736609088.6290567,1736609091.8487916,1736609091.8551931,1736609091.865064,1.0,7,0.3355674743652344,0.03418874740600586,0.3186514377593994,0.2485358715057373,0.45618772506713867,"[0.41320013999938965, 0.39868664741516113]","[0.10061430931091309, 0.17418527603149414]",86062,"[16, 16, 16]","[0.00018591248169924008, 0.00018591248169924008, 0.00018591248169924008]",1736609091
"[1736609088.6243873, 1736609088.7613065, 1736609088.9048238, 1736609089.0286875, 1736609089.1583374, 1736609089.3576736, 1736609089.4917765]",1736609089.6316514,1736609089.631743,1736609093.2815385,1736609093.28977,1736609093.3030033,1.0,7,0.4269540309906006,0.032953500747680664,0.17178940773010254,0.2059924602508545,0.3152735233306885,"[0.5595788955688477, 0.5918726921081543]","[0.11724019050598145, 0.15518498420715332]",85120,"[16, 16, 16]","[0.00018796992481203009, 0.00018796992481203009, 0.00018796992481203009]",1736609093
"[1736609089.6275265, 1736609089.7591016, 1736609089.9033196, 1736609090.027223, 1736609090.224471, 1736609090.3577046, 1736609090.4912002]",1736609090.7449458,1736609090.7557986,1736609094.3299582,1736609094.3411384,1736609094.3516448,1.0,7,0.2946629524230957,0.026694774627685547,0.2332630157470703,0.20333313941955566,0.3692779541015625,"[0.43529629707336426, 0.39368581771850586]","[0.09066176414489746, 0.1205759048461914]",76118,"[16, 16, 16]","[0.00021019995270501064, 0.00021019995270501064, 0.00021019995270501064]",1736609094
"[1736609090.6244738, 1736609090.7651753, 1736609090.9003625, 1736609091.032645, 1736609091.2246602, 1736609091.358028, 1736609091.4914544]",1736609091.6290927,1736609091.6292565,1736609095.153291,1736609095.1641338,1736609095.179029,1.0,7,0.5221035480499268,0.02996683120727539,0.16869497299194336,0.35808634757995605,0.43784070014953613,"[0.29509735107421875, 0.3447537422180176]","[0.05998706817626953, 0.11870980262756348]",71513,"[16, 16, 16]","[0.000223735544586299, 0.000223735544586299, 0.000223735544586299]",1736609095
