timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737032282.1225958,1737032282.1231654,1737032282.1232393,1737032284.9602468,1737032284.9611025,"[1737032285.1326292, 1737032285.2992957, 1737032285.4659624, 1737032285.6326292, 1737032285.7992957, 1737032285.9659624]",1737032282,2,unified,0.0855569839477539,0.16491174697875977,0.3729398250579834,0.21131157875061035,0.11292386054992676,1.0198163986206055
1737032283.124716,1737032283.1255038,1737032283.1255865,1737032286.2538967,1737032286.2543814,"[1737032286.4282386, 1737032286.5949051, 1737032286.761572, 1737032286.9282386, 1737032287.0949051, 1737032287.261572]",1737032283,2,unified,0.008233785629272461,0.16291046142578125,0.5650389194488525,0.2091999053955078,0.11621809005737305,1.3053638935089111
1737032284.1240692,1737032284.1776497,1737032284.1777563,1737032287.35361,1737032287.3540235,"[1737032287.5275574, 1737032287.6942239, 1737032287.8608906, 1737032288.0275574, 1737032288.1942239, 1737032288.3608906]",1737032284,2,unified,0.0010123252868652344,0.16524004936218262,0.5340723991394043,0.14986300468444824,0.14785027503967285,1.0995895862579346
1737032285.1265497,1737032285.1636934,1737032285.1637726,1737032288.4754968,1737032288.4759634,"[1737032288.6477265, 1737032288.814393, 1737032288.9810598, 1737032289.1477265, 1737032289.314393, 1737032289.4810598]",1737032285,2,unified,0.0007367134094238281,0.16681170463562012,0.03510260581970215,0.7333402633666992,0.1288151741027832,1.1226685047149658
1737032286.1238256,1737032286.2596674,1737032286.25975,1737032289.4479504,1737032289.4484234,"[1737032289.619957, 1737032289.7866235, 1737032289.9532902, 1737032290.119957, 1737032290.2866235, 1737032290.4532902]",1737032286,2,unified,0.0016970634460449219,0.16869521141052246,0.07640743255615234,0.7038803100585938,0.13836026191711426,0.9705936908721924
1737032287.124864,1737032287.3565302,1737032287.3566046,1737032290.4801526,1737032290.4802282,"[1737032290.6531587, 1737032290.8198252, 1737032290.986492, 1737032291.1531587, 1737032291.3198252, 1737032291.486492]",1737032287,2,unified,0.005036115646362305,0.1765902042388916,0.0926516056060791,0.6835834980010986,0.13644909858703613,1.0340039730072021
1737032314.4479141,1737032314.4485266,1737032314.4485965,1737032315.944357,1737032315.944432,"[1737032316.6666667, 1737032316.8333333, 1737032317.0, 1737032317.1666667, 1737032317.3333333, 1737032317.5]",1737032314,2,unified,0.0027618408203125,0.16395115852355957,0.026968717575073242,0.09539651870727539,0.12153077125549316,1.067558765411377
1737032315.5542781,1737032315.5549824,1737032315.5550663,1737032317.2178576,1737032317.2179217,"[1737032317.6666667, 1737032317.8333333, 1737032318.0, 1737032318.1666667, 1737032318.3333333, 1737032318.5]",1737032315,2,unified,0.009880542755126953,0.16890549659729004,0.1357419490814209,0.16496610641479492,0.11194229125976562,1.050107717514038
1737032316.447037,1737032316.4477665,1737032316.4478467,1737032318.645427,1737032318.6458936,"[1737032318.8179173, 1737032318.9845839, 1737032319.1512506, 1737032319.3179173, 1737032319.4845839, 1737032319.6512506]",1737032316,2,unified,0.1591203212738037,0.1712484359741211,0.3687455654144287,0.1399996280670166,0.11499881744384766,1.2233796119689941
1737032317.45419,1737032317.4548736,1737032317.4549487,1737032319.9065585,1737032319.9071348,"[1737032320.080915, 1737032320.2475815, 1737032320.4142482, 1737032320.580915, 1737032320.7475815, 1737032320.9142482]",1737032317,2,unified,0.0024738311767578125,0.17059946060180664,0.06636643409729004,0.7799291610717773,0.15850496292114258,1.2343151569366455
