timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737033439.0342267,1737033439.0347512,1737033439.0348191,1737033439.9093654,1737033439.9094687,"[1737033442.2, 1737033442.4, 1737033442.6, 1737033442.8, 1737033443.0]",1737033439,2,unified,0.0034885406494140625,0.1286773681640625,0.023913145065307617,0.06832242012023926,0.08135294914245605,0.5564558506011963
1737033440.0375206,1737033440.0381505,1737033440.038233,1737033440.9203312,1737033440.9204032,"[1737033443.2, 1737033443.4, 1737033443.6, 1737033443.8, 1737033444.0]",1737033440,2,unified,0.0007565021514892578,0.139082670211792,0.017299413681030273,0.07127833366394043,0.08089566230773926,0.563274621963501
1737033441.0396652,1737033441.0402431,1737033441.040315,1737033441.9302692,1737033441.93034,"[1737033444.2, 1737033444.4, 1737033444.6, 1737033444.8, 1737033445.0]",1737033441,2,unified,0.0008342266082763672,0.12972331047058105,0.01976156234741211,0.07208490371704102,0.07782578468322754,0.5794141292572021
1737033442.0376399,1737033442.0381758,1737033442.0382564,1737033442.9099004,1737033442.909979,"[1737033445.2, 1737033445.4, 1737033445.6, 1737033445.8, 1737033446.0]",1737033442,2,unified,0.0008006095886230469,0.12741518020629883,0.02227616310119629,0.07026004791259766,0.08009529113769531,0.5581343173980713
1737033443.0384004,1737033443.039042,1737033443.0391111,1737033443.918264,1737033443.9183383,"[1737033446.2, 1737033446.4, 1737033446.6, 1737033446.8, 1737033447.0]",1737033443,2,unified,0.0007905960083007812,0.13075971603393555,0.019613981246948242,0.06629633903503418,0.08409881591796875,0.5676987171173096
1737033444.037208,1737033444.037869,1737033444.0379467,1737033444.919795,1737033444.9198766,"[1737033447.2, 1737033447.4, 1737033447.6, 1737033447.8, 1737033448.0]",1737033444,2,unified,0.0008571147918701172,0.12938523292541504,0.02163219451904297,0.06944608688354492,0.08378458023071289,0.567183256149292
1737033445.0400403,1737033445.0405703,1737033445.0406368,1737033445.8990862,1737033445.8991597,"[1737033448.2, 1737033448.4, 1737033448.6, 1737033448.8, 1737033449.0]",1737033445,2,unified,0.0007681846618652344,0.1314089298248291,0.018027305603027344,0.06895732879638672,0.07833981513977051,0.5513319969177246
1737033446.0404787,1737033446.0410402,1737033446.041117,1737033446.90743,1737033446.907514,"[1737033449.2, 1737033449.4, 1737033449.6, 1737033449.8, 1737033450.0]",1737033446,2,unified,0.0009670257568359375,0.135209321975708,0.016660690307617188,0.07343912124633789,0.07462835311889648,0.5556356906890869
1737033447.0407157,1737033447.041277,1737033447.041352,1737033447.9381683,1737033447.9382422,"[1737033450.2, 1737033450.4, 1737033450.6, 1737033450.8, 1737033451.0]",1737033447,2,unified,0.0016849040985107422,0.13038301467895508,0.01765298843383789,0.06928610801696777,0.07619643211364746,0.5913856029510498
1737033448.0382922,1737033448.038848,1737033448.0389292,1737033448.932503,1737033448.9325755,"[1737033451.2, 1737033451.4, 1737033451.6, 1737033451.8, 1737033452.0]",1737033448,2,unified,0.0008029937744140625,0.1332545280456543,0.017339706420898438,0.06990742683410645,0.08053898811340332,0.5810525417327881
